id,title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,supergenre
340,See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,48,69,-8,6,28,230,37,8,56,hip hop
341,Heroes (we could be),Alesso,big room,2015,126,75,52,-4,24,35,210,4,6,56,room
343,Perfect,One Direction,boy band,2015,100,82,65,-5,12,40,230,6,8,55,band
350,Steal My Girl,One Direction,boy band,2015,77,76,47,-6,14,52,227,0,4,51,band
364,The Hills,The Weeknd,canadian contemporary r&b,2016,113,56,58,-7,14,14,242,7,5,84,r&b
367,Don't Let Me Down,The Chainsmokers,electropop,2016,160,87,53,-5,14,42,208,16,17,81,electropop
368,In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,45,17,196,11,4,81,room
372,Needed Me,Rihanna,barbadian pop,2016,111,31,67,-8,8,30,192,11,24,80,barbadian pop
376,Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,74,57,-6,11,45,230,3,13,79,r&b
378,Work,Rihanna,barbadian pop,2016,92,53,73,-6,9,56,219,8,9,78,barbadian pop
380,"Me, Myself & I",G-Eazy,hip hop,2016,112,67,76,-7,16,38,251,2,10,78,hip hop
385,Electric Love,BØRNS,electropop,2016,120,80,61,-8,26,52,218,1,5,76,electropop
387,Too Good,Drake,canadian hip hop,2016,118,65,79,-8,10,39,263,5,10,74,hip hop
388,Roses,The Chainsmokers,electropop,2016,100,80,71,-7,31,34,227,4,6,74,electropop
395,All We Know,The Chainsmokers,electropop,2016,90,59,66,-9,12,30,194,10,3,72,electropop
399,All I Ask,Adele,british soul,2016,142,28,59,-5,15,34,272,88,3,71,soul
404,Runnin' (Lose It All),Naughty Boy,tropical house,2016,139,85,32,-6,48,8,213,1,8,69,house
405,Here,Alessia Cara,canadian contemporary r&b,2016,120,82,38,-4,8,33,199,8,10,68,r&b
414,Cheap Thrills,Sia,australian dance,2016,90,80,59,-5,8,73,225,6,22,64,dance
418,Send My Love (To Your New Lover),Adele,british soul,2016,164,52,69,-8,17,56,223,4,10,61,soul
421,When We Were Young,Adele,british soul,2016,144,59,38,-6,9,27,291,35,5,58,soul
427,Keeping Your Head Up,Birdy,neo mellow,2016,122,78,60,-5,19,53,208,16,5,52,mellow
428,True Colors,Zedd,complextro,2016,126,79,57,-3,10,49,225,40,4,51,complextro
432,Start,John Legend,neo mellow,2016,110,4,52,-15,9,26,310,99,4,47,mellow
441,Picky - Remix,Joey Montana,latin,2016,186,81,70,-3,37,69,225,9,7,29,latin
442,Behind Your Back,Nelly Furtado,canadian latin,2016,98,47,80,-10,7,69,228,25,4,18,latin
443,Million Years Ago,Adele,british soul,2016,0,0,0,-60,0,0,227,0,0,0,soul
445,Closer,The Chainsmokers,electropop,2017,95,52,75,-6,11,66,245,41,3,86,electropop
446,Starboy,The Weeknd,canadian contemporary r&b,2017,186,59,68,-7,14,49,230,14,28,85,r&b
450,I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,93,82,77,-6,7,59,269,43,12,81,r&b
453,Stay,Zedd,complextro,2017,102,62,69,-5,12,54,210,25,6,80,complextro
454,It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,64,-7,9,52,221,12,7,79,edm
456,Something Just Like This,The Chainsmokers,electropop,2017,103,65,61,-7,17,51,248,3,4,78,electropop
462,Despacito - Remix,Luis Fonsi,latin,2017,178,82,65,-4,10,82,229,23,17,76,latin
463,The Greatest,Sia,australian dance,2017,192,73,67,-6,6,73,210,1,27,76,dance
464,There for You,Martin Garrix,big room,2017,106,64,61,-8,12,13,222,12,6,76,room
465,Paris,The Chainsmokers,electropop,2017,100,64,65,-7,9,25,222,2,3,76,electropop
473,Reggaetón Lento (Remix),CNCO,boy band,2017,94,91,53,-3,10,62,189,15,9,71,band
474,All I Ask,Adele,british soul,2017,142,28,59,-5,15,34,272,88,3,71,soul
475,First Time,Kygo,edm,2017,90,59,63,-7,10,68,194,20,11,71,edm
477,"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017,181,54,31,-10,7,16,176,16,35,71,r&b
480,Tired,Alan Walker,electro house,2017,124,88,69,-4,15,49,192,4,6,70,house
488,Get Low (with Liam Payne),Zedd,complextro,2017,108,93,72,-4,5,54,205,3,5,66,complextro
493,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,122,64,73,-7,8,53,158,2,4,59,edm
